ES,Extraverted Sensing,"Acts on concrete data from here and now. Trusts the present, then lets it go."
IS,Introverted Sensing,Compares present facts and experiences to past experience. Trusts the past. Stores sensory data for future use.
EN,Extraverted Intuition,"Sees possibilities in the external world. Trusts flashes from the unconscious, which can then be shared with others."
IN,Introverted Intuition,"Looks at consistency of ideas and thoughts with an internal framework. Trusts flashes from the unconscious, which may be hard for others to understand."
ET,Extraverted Thinking,Seeks logic and consistency in the outside world. Concern for external laws and rules.
IT,Introverted Thinking,"Seeks internal consistency and logic of ideas. Trusts his or her internal framework, which may be difficult to explain to others."
EF,Extraverted Feeling:,Seeks harmony with and between people in the outside world. Interpersonal and cultural values are important.
IF,Introverted Feeling,Seeks harmony of action and thoughts with personal values. May not always articulate those values.
